Date,Open,High,Low,Close,Adj Close,Volume
2021-02-24,325.000000,330.000000,316.500000,321.649994,320.650635,50821757
2021-02-25,325.350006,334.700012,323.250000,333.149994,332.114899,64514912
2021-02-26,323.000000,332.950012,318.850006,322.950012,321.946594,91901339
2021-03-01,330.000000,331.850006,322.700012,328.299988,327.279968,61190868
2021-03-02,331.100006,347.200012,326.450012,345.750000,344.675751,127708761
2021-03-03,348.649994,357.000000,346.500000,348.500000,347.417206,92006451
2021-03-04,339.000000,345.399994,337.299988,339.200012,338.146118,59863169
2021-03-05,333.000000,337.850006,319.700012,325.149994,324.139740,86738909
2021-03-08,331.750000,331.750000,318.799988,321.250000,320.251862,81925952
2021-03-09,325.000000,328.350006,309.600006,315.200012,314.220673,74702208
2021-03-10,319.500000,324.450012,316.700012,321.450012,320.451263,58643853
2021-03-12,325.049988,326.500000,314.149994,317.549988,316.563354,48360842
2021-03-15,320.000000,320.399994,310.049988,318.549988,317.560242,45081385
2021-03-16,321.000000,321.899994,315.100006,319.950012,318.955933,39267404
2021-03-17,318.600006,320.000000,304.000000,305.799988,304.849854,47262481
2021-03-18,311.000000,316.600006,299.750000,307.000000,306.046143,73731921
2021-03-19,303.500000,311.000000,290.200012,308.950012,307.990112,109932681
2021-03-22,306.450012,307.500000,300.100006,303.049988,302.108398,56385019
2021-03-23,305.000000,312.250000,304.000000,307.399994,306.444885,60240483
2021-03-24,303.549988,305.000000,293.200012,294.450012,293.535156,61523819
2021-03-25,294.000000,294.000000,282.250000,285.549988,284.662781,84528317
2021-03-26,290.500000,301.399994,290.500000,296.399994,295.479065,80924011
2021-03-30,300.500000,301.299988,292.700012,297.049988,296.127045,45257233
2021-03-31,299.000000,307.500000,297.500000,301.799988,300.862305,58569012
2021-04-01,306.750000,309.850006,303.049988,307.750000,306.793823,44088352
2021-04-05,306.799988,311.700012,297.200012,305.049988,304.102203,66178755
2021-04-06,306.149994,313.799988,304.799988,307.750000,306.793823,63031783
2021-04-07,306.750000,310.649994,305.100006,307.799988,306.843658,39073986
2021-04-08,307.899994,319.799988,307.500000,313.950012,312.974579,62459774
2021-04-09,313.200012,325.000000,312.500000,318.200012,317.211365,75462572
2021-04-12,307.850006,307.850006,282.899994,286.549988,285.659668,105342538
2021-04-13,287.250000,304.549988,280.549988,302.850006,301.909058,116874853
2021-04-15,303.000000,307.549988,296.500000,303.500000,302.557007,75262749
2021-04-16,302.000000,315.000000,300.149994,310.000000,309.036835,75330709
2021-04-19,295.000000,304.500000,292.799988,301.399994,300.463531,65791784
2021-04-20,307.700012,308.149994,294.200012,298.049988,297.123932,56740291
2021-04-22,294.000000,302.500000,292.200012,294.549988,293.634827,61022978
2021-04-23,291.000000,300.000000,290.500000,294.000000,293.086548,58158986
2021-04-26,297.000000,299.000000,294.600006,295.399994,294.482178,30583139
2021-04-27,295.700012,302.500000,295.100006,301.500000,300.563232,35040532
2021-04-28,303.500000,309.500000,303.000000,305.899994,304.949554,44668126
2021-04-29,308.899994,310.000000,301.250000,301.899994,300.961975,36647292
2021-04-30,298.200012,301.299988,292.549988,293.850006,292.937012,36121668
2021-05-03,289.299988,294.750000,285.000000,293.000000,292.089661,35376618
2021-05-04,296.350006,299.750000,288.049988,289.450012,288.550690,38640006
2021-05-05,293.500000,293.899994,288.500000,291.500000,290.594299,29350536
2021-05-06,291.500000,302.000000,290.299988,301.250000,300.314026,45032502
2021-05-07,303.000000,305.950012,300.500000,302.750000,301.809357,41591323
2021-05-10,304.500000,315.700012,304.000000,314.850006,313.871765,53260388
2021-05-11,309.549988,320.750000,308.100006,315.549988,314.569580,58472304
2021-05-12,318.250000,334.750000,316.250000,326.000000,324.987122,111584920
2021-05-14,329.350006,329.500000,310.000000,312.250000,311.279846,81305325
2021-05-17,315.399994,323.850006,311.399994,321.100006,320.102356,51162423
2021-05-18,325.950012,336.649994,324.000000,332.450012,331.417084,86153088
2021-05-19,313.000000,322.950012,312.100006,314.450012,313.473022,119407026
2021-05-20,316.000000,316.600006,306.100006,307.700012,306.743988,54043899
2021-05-21,312.000000,315.700012,309.500000,313.100006,312.127197,40358753
2021-05-24,314.750000,315.799988,310.200012,311.850006,310.881073,31963997
